type,2014,total15,total16,total17,total18,total19,total20,total21,total22,total23,2024,2025,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Other/Unknown,21514,38986,36221,36305,37455,38382,34531,38355,38844,40984,42677,8515,11616,111730,37243.3,1.2,-69.7,-70.1,-69,8181.6,7360.7,8175.9,8280.1,2476.1,7938.9
Property,7754,11254,11516,11960,10836,10892,9996,10632,11485,13100,14358,2520,3645,32113,10704.3,5.4,-66.5,-68.3,-66,2321.8,2130.8,2266.4,2448.2,777,2281.8
Violent,1043,1756,1691,1894,1893,1970,1843,2148,2109,2112,2160,355,511,6100,2033.3,7.1,-74.1,-75.8,-75,419.9,392.9,457.9,449.6,108.9,433.4
