category,month,count,rollavg_3month
Motor Vehicle Theft,2014-06-01,82,NA
Motor Vehicle Theft,2014-07-01,91,NA
Motor Vehicle Theft,2014-08-01,81,85
Motor Vehicle Theft,2014-09-01,66,79
Motor Vehicle Theft,2014-10-01,57,68
Motor Vehicle Theft,2014-11-01,83,69
Motor Vehicle Theft,2014-12-01,87,76
Motor Vehicle Theft,2015-01-01,57,76
Motor Vehicle Theft,2015-02-01,51,65
Motor Vehicle Theft,2015-03-01,62,57
Motor Vehicle Theft,2015-04-01,75,63
Motor Vehicle Theft,2015-05-01,64,67
Motor Vehicle Theft,2015-06-01,90,76
Motor Vehicle Theft,2015-07-01,98,84
Motor Vehicle Theft,2015-08-01,82,90
Motor Vehicle Theft,2015-09-01,56,79
Motor Vehicle Theft,2015-10-01,67,68
Motor Vehicle Theft,2015-11-01,59,61
Motor Vehicle Theft,2015-12-01,66,64
Motor Vehicle Theft,2016-01-01,96,74
Motor Vehicle Theft,2016-02-01,90,84
Motor Vehicle Theft,2016-03-01,80,89
Motor Vehicle Theft,2016-04-01,75,82
Motor Vehicle Theft,2016-05-01,60,72
Motor Vehicle Theft,2016-06-01,65,67
Motor Vehicle Theft,2016-07-01,68,64
Motor Vehicle Theft,2016-08-01,86,73
Motor Vehicle Theft,2016-09-01,59,71
Motor Vehicle Theft,2016-10-01,73,73
Motor Vehicle Theft,2016-11-01,90,74
Motor Vehicle Theft,2016-12-01,88,84
Motor Vehicle Theft,2017-01-01,70,83
Motor Vehicle Theft,2017-02-01,73,77
Motor Vehicle Theft,2017-03-01,81,75
Motor Vehicle Theft,2017-04-01,92,82
Motor Vehicle Theft,2017-05-01,79,84
Motor Vehicle Theft,2017-06-01,78,83
Motor Vehicle Theft,2017-07-01,84,80
Motor Vehicle Theft,2017-08-01,83,82
Motor Vehicle Theft,2017-09-01,75,81
Motor Vehicle Theft,2017-10-01,82,80
Motor Vehicle Theft,2017-11-01,89,82
Motor Vehicle Theft,2017-12-01,85,85
Motor Vehicle Theft,2018-01-01,63,79
Motor Vehicle Theft,2018-02-01,72,73
Motor Vehicle Theft,2018-03-01,59,65
Motor Vehicle Theft,2018-04-01,66,66
Motor Vehicle Theft,2018-05-01,73,66
Motor Vehicle Theft,2018-06-01,66,68
Motor Vehicle Theft,2018-07-01,71,70
Motor Vehicle Theft,2018-08-01,75,71
Motor Vehicle Theft,2018-09-01,70,72
Motor Vehicle Theft,2018-10-01,73,73
Motor Vehicle Theft,2018-11-01,76,73
Motor Vehicle Theft,2018-12-01,71,73
Motor Vehicle Theft,2019-01-01,69,72
Motor Vehicle Theft,2019-02-01,57,66
Motor Vehicle Theft,2019-03-01,63,63
Motor Vehicle Theft,2019-04-01,58,59
Motor Vehicle Theft,2019-05-01,63,61
Motor Vehicle Theft,2019-06-01,91,71
Motor Vehicle Theft,2019-07-01,63,72
Motor Vehicle Theft,2019-08-01,78,77
Motor Vehicle Theft,2019-09-01,74,72
Motor Vehicle Theft,2019-10-01,102,85
Motor Vehicle Theft,2019-11-01,104,93
Motor Vehicle Theft,2019-12-01,95,100
Motor Vehicle Theft,2020-01-01,92,97
Motor Vehicle Theft,2020-02-01,85,91
Motor Vehicle Theft,2020-03-01,85,87
Motor Vehicle Theft,2020-04-01,66,79
Motor Vehicle Theft,2020-05-01,73,75
Motor Vehicle Theft,2020-06-01,91,77
Motor Vehicle Theft,2020-07-01,98,87
Motor Vehicle Theft,2020-08-01,81,90
Motor Vehicle Theft,2020-09-01,94,91
Motor Vehicle Theft,2020-10-01,92,89
Motor Vehicle Theft,2020-11-01,89,92
Motor Vehicle Theft,2020-12-01,80,87
Motor Vehicle Theft,2021-01-01,93,87
Motor Vehicle Theft,2021-02-01,89,87
Motor Vehicle Theft,2021-03-01,72,85
Motor Vehicle Theft,2021-04-01,64,75
Motor Vehicle Theft,2021-05-01,92,76
Motor Vehicle Theft,2021-06-01,127,94
Motor Vehicle Theft,2021-07-01,102,107
Motor Vehicle Theft,2021-08-01,98,109
Motor Vehicle Theft,2021-09-01,105,102
Motor Vehicle Theft,2021-10-01,111,105
Motor Vehicle Theft,2021-11-01,91,102
Motor Vehicle Theft,2021-12-01,86,96
Motor Vehicle Theft,2022-01-01,106,94
Motor Vehicle Theft,2022-02-01,88,93
Motor Vehicle Theft,2022-03-01,112,102
Motor Vehicle Theft,2022-04-01,101,100
Motor Vehicle Theft,2022-05-01,103,105
Motor Vehicle Theft,2022-06-01,106,103
Motor Vehicle Theft,2022-07-01,87,99
Motor Vehicle Theft,2022-08-01,134,109
Motor Vehicle Theft,2022-09-01,122,114
Motor Vehicle Theft,2022-10-01,112,123
Motor Vehicle Theft,2022-11-01,95,110
Motor Vehicle Theft,2022-12-01,117,108
Motor Vehicle Theft,2023-01-01,138,117
Motor Vehicle Theft,2023-02-01,44,100
