district,population,placename,district_name,type,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,2024,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
DTD,22000,Downtown Raleigh,Downtown,Violent,151,224,245,249,278,323,246,246,264,336,269,281,756,252,-18.3,-13,6.4,12,1468.2,1118.2,1118.2,1200,1277.3,1145.5
NED,51000,Northeast Raleigh,Northeast,Violent,182,288,273,287,341,365,305,380,428,409,455,469,1113,371,17.3,28.5,9.6,26,715.7,598,745.1,839.2,919.6,727.5
NOD,113000,North Raleigh,North,Violent,203,350,286,391,386,334,336,362,278,297,255,269,976,325.3,-16.8,-19.5,-3.2,-17,295.6,297.3,320.4,246,238.1,287.9
NWD,97000,Northwest Raleigh,Northwest,Violent,61,103,119,143,115,117,147,164,183,215,186,195,494,164.7,56.4,66.7,6.6,18,120.6,151.5,169.1,188.7,201,169.8
SED,84000,Southeast Raleigh,Southeast,Violent,297,591,529,558,533,558,578,652,660,574,620,644,1890,630,18.3,15.4,-2.4,2,664.3,688.1,776.2,785.7,766.7,750
SWD,98000,Southwest Raleigh,Southwest,Violent,149,200,239,265,240,273,231,344,295,281,284,292,870,290,8.1,7,-1,1,278.6,235.7,351,301,298,295.9
NA,NA,NA,UNK,Violent,0,0,0,1,0,0,0,0,1,0,4,4,1,0.3,NA,NA,300,1233,NA,NA,NA,NA,NA,NA
