district,population,placename,district_name,category,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,2024,2025,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
DTD,22000,Downtown Raleigh,Downtown,Motor Vehicle Theft,55,110,136,99,94,117,105,111,95,205,215,32,49,311,103.7,-18.8,-58.1,-48.4,-53,531.8,477.3,504.5,431.8,222.7,471.4
NED,51000,Northeast Raleigh,Northeast,Motor Vehicle Theft,73,107,148,207,179,154,195,205,301,366,503,85,119,701,233.7,95.5,-22.7,-60.5,-49,302,382.4,402,590.2,233.3,458.2
NOD,113000,North Raleigh,North,Motor Vehicle Theft,121,204,202,194,137,190,178,250,188,268,325,45,64,616,205.3,-1.1,-66.3,-66,-69,168.1,157.5,221.2,166.4,56.6,181.7
NWD,97000,Northwest Raleigh,Northwest,Motor Vehicle Theft,52,69,108,106,110,106,112,126,217,406,334,84,110,455,151.7,104.7,3.8,-49.3,-27,109.3,115.5,129.9,223.7,113.4,156.4
SED,84000,Southeast Raleigh,Southeast,Motor Vehicle Theft,148,199,201,209,186,234,249,243,300,447,623,109,149,792,264,28.2,-36.3,-50.3,-44,278.6,296.4,289.3,357.1,177.4,314.3
SWD,98000,Southwest Raleigh,Southwest,Motor Vehicle Theft,99,137,136,155,130,115,187,195,177,345,467,93,138,559,186.3,53.9,20,-22,-26,117.3,190.8,199,180.6,140.8,190.1
NA,NA,NA,UNK,Motor Vehicle Theft,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
