district,population,placename,district_name,category,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,2024,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
DTD,22000,Downtown Raleigh,Downtown,Burglary,105,179,189,195,167,130,167,147,111,124,96,124,425,141.7,-14.6,-4.6,11.7,-12,590.9,759.1,668.2,504.5,563.6,644.1
NED,51000,Northeast Raleigh,Northeast,Burglary,259,316,342,363,333,221,188,229,224,247,172,238,641,213.7,1.4,7.7,6.2,11,433.3,368.6,449,439.2,466.7,419
NOD,113000,North Raleigh,North,Burglary,285,425,480,484,456,270,277,227,192,278,137,202,696,232,-28.9,-25.2,5.2,-13,238.9,245.1,200.9,169.9,178.8,205.3
NWD,97000,Northwest Raleigh,Northwest,Burglary,132,181,205,224,196,126,170,161,197,211,118,170,528,176,56.3,34.9,-13.7,-3,129.9,175.3,166,203.1,175.3,181.4
SED,84000,Southeast Raleigh,Southeast,Burglary,395,588,561,639,563,449,268,322,280,349,202,286,870,290,-37.6,-36.3,2.1,-1,534.5,319,383.3,333.3,340.5,345.2
SWD,98000,Southwest Raleigh,Southwest,Burglary,318,381,443,427,363,279,204,215,189,235,176,235,608,202.7,-32.3,-15.8,24.3,16,284.7,208.2,219.4,192.9,239.8,206.8
NA,NA,NA,UNK,Burglary,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3,NA,NA,NA,-100,NA,NA,NA,NA,NA,NA
