district,population,placename,category,total19,total20,total21,ytd22,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,38,50,34,45,Violent,list(),126,42,31.6,18.4,-10,7,13.3,13.3,17.5,15.8,14.7
Citywide,285527,NA,Sexual Assault,107,119,122,111,135,Violent,list(),348,116,14,26.2,10.7,16,37.5,41.7,42.7,47.3,40.6
Citywide,285527,NA,Robbery,611,612,531,491,625,Violent,list(),1754,584.7,-13.1,2.3,17.7,7,214,214.3,186,218.9,204.8
Citywide,285527,NA,Aggravated Assault,1251,1643,1436,940,1179,Violent,list(),4330,1443.3,14.8,-5.8,-17.9,-18,438.1,575.4,502.9,412.9,505.5
Citywide,285527,NA,Burglary,1851,1817,1444,1015,1287,Property,list(),5112,1704,-22,-30.5,-10.9,-24,648.3,636.4,505.7,450.7,596.8
Citywide,285527,NA,Theft,7838,7683,7357,5775,7181,Property,list(),22878,7626,-6.1,-8.4,-2.4,-6,2745.1,2690.8,2576.6,2515,2670.9
Citywide,285527,NA,Vehicle Theft,677,878,686,625,786,Property,list(),2241,747,1.3,16.1,14.6,5,237.1,307.5,240.3,275.3,261.6
